source_collection,doc_id,doc_timestamp,sample_index,node_id,sample_ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,processed_at
node_data_0v3,node_1_1775447655,2026-04-06T03:54:14.000Z,1,node_1,2026-04-06T03:51:14.000Z,2624332,35.30168,43.58168,0,13.72469,84.09525,0.914812,-0.062052,60,
node_data_0v3,node_1_1775447655,2026-04-06T03:54:14.000Z,2,node_1,2026-04-06T03:52:14.000Z,2684332,35.29667,42.71833,0,13.71925,87.35148,0.917604,-0.060018,60,
node_data_0v3,node_1_1775447655,2026-04-06T03:54:14.000Z,3,node_1,2026-04-06T03:53:14.000Z,2744332,35.23167,44.13668,0,13.71579,85.31087,0.918375,-0.060018,60,
node_data_0v3,node_1_1775447655,2026-04-06T03:54:14.000Z,4,node_1,2026-04-06T03:54:14.000Z,2804332,35.235,44.42332,0,13.71096,87.05038,0.919167,-0.060018,60,
node_data_0v3,node_1_1775447715,2026-04-06T03:55:14.000Z,0,node_1,2026-04-06T03:55:14.000Z,2864331,35.27168,44.185,0,13.70611,87.50204,0.919208,-0.06307,60,
node_data_0v3,node_1_1775448005,2026-04-06T03:59:14.000Z,0,node_1,2026-04-06T03:56:14.000Z,2924332,35.30168,44.62666,0,13.70067,90.66061,0.919979,-0.060018,60,
node_data_0v3,node_1_1775448005,2026-04-06T03:59:14.000Z,1,node_1,2026-04-06T03:57:14.000Z,2984331,35.32169,44.77499,0,13.69767,86.71265,0.919937,-0.061035,60,
node_data_0v3,node_1_1775448005,2026-04-06T03:59:14.000Z,2,node_1,2026-04-06T03:58:14.000Z,3044332,35.27834,44.74166,0,13.693,86.54887,0.92,-0.061035,60,
node_data_0v3,node_1_1775448005,2026-04-06T03:59:14.000Z,3,node_1,2026-04-06T03:59:14.000Z,3104332,35.23832,44.37834,0,13.68923,86.65365,0.920667,-0.061035,60,
node_data_0v3,node_1_1775448255,2026-04-06T04:04:14.000Z,0,node_1,2026-04-06T04:00:14.000Z,3164333,35.255,44.77502,0,13.68515,88.91907,0.919687,-0.060018,60,
node_data_0v3,node_1_1775448255,2026-04-06T04:04:14.000Z,1,node_1,2026-04-06T04:01:14.000Z,3224333,35.29169,45.215,0,13.68187,86.1145,0.919042,-0.057983,60,
node_data_0v3,node_1_1775448255,2026-04-06T04:04:14.000Z,2,node_1,2026-04-06T04:02:14.000Z,3284332,35.37834,45.40833,0,13.67711,85.10844,0.918083,-0.064087,60,
node_data_0v3,node_1_1775448255,2026-04-06T04:04:14.000Z,3,node_1,2026-04-06T04:03:14.000Z,3344332,35.48834,44.24167,0,13.67331,86.12061,0.918062,-0.06307,60,
node_data_0v3,node_1_1775448255,2026-04-06T04:04:14.000Z,4,node_1,2026-04-06T04:04:14.000Z,3404332,35.58999,43.53167,0,13.67056,83.89079,0.918937,-0.06307,60,
node_data_0v3,node_1_1775448315,2026-04-06T04:05:14.000Z,0,node_1,2026-04-06T04:05:14.000Z,3464332,35.64165,43.52169,0,13.66583,87.84892,0.918042,-0.059001,60,
node_data_0v3,node_1_1775448605,2026-04-06T04:09:14.000Z,0,node_1,2026-04-06T04:06:14.000Z,3524332,35.63666,42.71667,0,13.6635,83.94877,0.918021,-0.067139,60,
