ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,historical?
2026-04-01T10:21:42.000Z,,29.98,54.06,0,13.55,84.51,13.15,0.06,60,true
2026-04-01T10:22:42.000Z,,29.94,53.93,0,13.55,85.14,13.15,0.04,60,true
2026-04-01T10:23:42.000Z,,29.87,54.31,0,13.54,88.88,13.15,0.01,60,true
2026-04-01T10:24:42.000Z,,29.85,54.51,0,13.54,90.51,13.14,0,60,true
2026-04-01T10:25:42.000Z,,29.83,54.55,0,13.54,86.22,13.14,-0.01,60,true
2026-04-01T10:26:42.000Z,,29.81,54.84,0,13.53,86.35,13.14,-0.02,60,true
2026-04-01T10:27:42.000Z,,29.78,54.9,0,13.53,92.97,13.13,-0.04,60,true
2026-04-01T10:28:42.000Z,,29.72,55.17,0,13.53,85.88,13.13,-0.06,60,true
2026-04-01T10:29:42.000Z,,29.68,55.29,0,13.52,90.45,13.13,-0.07,60,true
2026-04-01T10:30:42.000Z,,29.67,55.27,0,13.52,85.65,13.12,-0.08,60,true
2026-04-01T10:31:42.000Z,,29.64,55.35,0,13.52,87.77,13.12,-0.09,60,true
2026-04-01T10:32:42.000Z,,29.64,55.32,0,13.52,87.73,13.12,-0.09,60,true
2026-04-01T10:33:42.000Z,,29.6,55.55,0,13.51,92.36,13.11,-0.1,60,true
2026-04-01T10:34:42.000Z,,29.59,55.77,0,13.51,85.88,13.11,-0.1,60,true
2026-04-01T10:35:42.000Z,,29.55,55.87,0,13.51,88.44,13.11,-0.1,60,true
2026-04-01T10:36:42.000Z,,29.55,56.04,0,13.51,87.2,13.11,-0.1,60,true
2026-04-01T10:37:42.000Z,,29.52,56.05,0,13.5,86.25,13.1,-0.1,60,true
2026-04-01T10:38:42.000Z,,29.51,56.09,0,13.5,87.66,13.1,-0.1,60,true
2026-04-01T10:39:42.000Z,,29.52,56.29,0,13.5,86.53,13.1,-0.1,60,true
2026-04-01T10:40:42.000Z,,29.48,56.17,0,13.49,88.28,13.09,-0.1,60,true
2026-04-01T10:41:42.000Z,,29.45,56.14,0,13.49,86.27,13.09,-0.11,60,true
2026-04-01T10:42:42.000Z,,29.44,56.13,0,13.49,88.18,13.09,-0.11,60,true
2026-04-01T10:43:42.000Z,,29.45,55.98,0,13.49,90.29,13.09,-0.1,60,true
2026-04-01T10:44:42.000Z,,29.43,56.25,0,13.48,91.27,13.08,-0.11,60,true
2026-04-01T10:45:42.000Z,,29.41,56.6,0,13.48,88.81,13.08,-0.11,60,true
2026-04-01T10:46:42.000Z,,29.38,56.3,0,13.48,90.31,13.08,-0.1,60,true
2026-04-01T10:47:42.000Z,,29.38,56.52,0,13.48,87.62,13.08,-0.11,60,true
2026-04-01T10:48:42.000Z,,29.35,56.62,0,13.47,89.52,13.07,-0.1,60,true
2026-04-01T10:49:42.000Z,,29.3,56.62,0,13.47,89.66,13.07,-0.1,60,true
2026-04-01T10:50:42.000Z,,29.28,57.11,0,13.47,86.95,13.07,-0.11,60,true
2026-04-01T10:51:42.000Z,,29.24,57.2,0,13.47,87.46,13.07,-0.1,60,true
2026-04-01T10:52:42.000Z,,29.22,56.94,0,13.47,84.27,13.06,-0.11,60,true
2026-04-01T10:53:42.000Z,,29.19,57.06,0,13.46,88.14,13.06,-0.11,60,true
2026-04-01T10:54:42.000Z,,29.17,56.83,0,13.46,86.99,13.06,-0.11,60,true
2026-04-01T10:55:42.000Z,,29.14,57.42,0,13.46,86.78,13.06,-0.1,60,true
2026-04-01T10:56:42.000Z,,29.09,58.11,0,13.46,85.52,13.05,-0.11,60,true
2026-04-01T10:57:42.000Z,,29.09,58.3,0,13.45,87.14,13.05,-0.1,60,true
2026-04-01T10:58:42.000Z,,29.05,58.54,0,13.45,84.17,13.05,-0.1,60,true
2026-04-01T10:59:42.000Z,,29.03,58.79,0,13.45,88.23,13.05,-0.11,60,true
2026-04-01T11:00:42.000Z,,29,58.52,0,13.45,87.36,13.05,-0.1,60,true
2026-04-01T11:01:42.000Z,,29,58.09,0,13.45,87.24,13.04,-0.1,60,true
2026-04-01T11:02:42.000Z,,28.99,58.3,0,13.44,88.66,13.04,-0.1,60,true
2026-04-01T11:03:42.000Z,,28.96,58.22,0,13.44,84.87,13.04,-0.1,60,true
2026-04-01T11:04:42.000Z,,28.95,58.42,0,13.44,87.53,13.04,-0.1,60,true
2026-04-01T11:05:42.000Z,,28.93,59.59,0,13.44,87.73,13.03,-0.11,60,true
2026-04-01T11:06:42.000Z,,28.92,60.14,0,13.43,87.5,13.03,-0.1,60,true
2026-04-01T11:07:42.000Z,,28.86,60.59,0,13.43,87.45,13.03,-0.11,60,true
2026-04-01T11:08:42.000Z,,28.83,60.73,0,13.43,92.59,13.03,-0.11,60,true
2026-04-01T11:09:42.000Z,,28.78,60.94,0,13.43,87.79,13.03,-0.1,60,true
2026-04-01T11:10:42.000Z,,28.77,61.21,0,13.43,89.51,13.02,-0.1,60,true
2026-04-01T11:11:42.000Z,,28.75,61.26,0,13.42,89.59,13.02,-0.11,60,true
